timestep,dqn_cumulative_active_nodes_mean,dqn_percent_activated_mean,dqn_reward_mean,tabular_cumulative_active_nodes_mean,tabular_percent_activated_mean,tabular_reward_mean
1,4.7,47.0,6.3,4.7,47.0,6.3
2,11.4,67.0,8.8,11.1,64.0,8.6
3,19.2,78.0,10.2,17.7,66.0,8.6
4,27.1,79.0,10.1,24.8,71.0,9.1
5,35.4,83.0,10.6,32.9,81.0,10.5
6,43.1,77.0,9.9,41.6,87.0,11.5
7,51.0,79.0,10.4,49.2,76.0,9.6
8,58.4,74.0,9.8,56.6,74.0,9.4
9,66.4,80.0,10.4,64.0,74.0,9.5
10,74.4,80.0,10.3,72.7,87.0,11.4
11,82.0,76.0,9.9,80.6,79.0,10.0
12,90.2,82.0,10.4,87.6,70.0,8.6
13,98.4,82.0,10.5,94.9,73.0,9.5
14,107.0,86.0,11.0,102.1,72.0,9.4
15,115.0,80.0,10.3,109.0,69.0,8.6
16,123.2,82.0,10.8,116.2,72.0,9.3
17,131.6,84.0,10.8,123.3,71.0,8.9
18,139.0,74.0,9.4,131.2,79.0,10.1
19,146.9,79.0,10.0,138.5,73.0,9.2
20,154.7,78.0,9.9,146.5,80.0,10.3
21,162.4,77.0,9.3,153.6,71.0,9.0
22,170.4,80.0,10.1,160.7,71.0,9.5
23,178.5,81.0,10.2,167.6,69.0,9.0
24,186.4,79.0,10.3,174.8,72.0,9.5
25,194.6,82.0,10.6,182.7,79.0,10.1
26,202.1,75.0,9.5,190.2,75.0,9.9
27,209.7,76.0,10.0,197.0,68.0,9.3
28,218.0,83.0,10.5,203.6,66.0,8.4
29,226.3,83.0,10.4,211.2,76.0,10.0
30,234.1,78.0,10.1,218.9,77.0,9.9
