Simulation,Hill Climb_Percent,Hill Climb_Value,DQN Normal_Percent,DQN Normal_Value,Random Selection_Percent,Random Selection_Value,No Selection_Percent,No Selection_Value
1,75.25333333333334,141660,74.32,141343,73.38666666666667,137422,74.42666666666666,139956
2,75.62666666666667,141559,75.46666666666667,144589,77.09333333333333,145535,75.09333333333333,141767
3,75.14666666666666,142301,78.77333333333333,151246,76.21333333333334,144741,74.16,140558
4,73.11999999999999,136644,77.09333333333333,146124,74.85333333333334,141224,73.76,138611
5,75.38666666666667,144083,76.50666666666666,143849,75.36,142182,73.14666666666668,136978
6,74.77333333333334,141008,76.26666666666667,143013,74.18666666666667,139399,74.32,140719
7,76.82666666666667,146310,75.65333333333332,142123,76.0,141960,73.94666666666667,137749
8,75.25333333333334,142926,75.01333333333334,141582,74.0,138986,74.29333333333334,140812
9,76.13333333333333,143335,76.10666666666667,144266,76.82666666666667,145976,72.93333333333332,136904
10,76.32,145956,77.84,146756,74.05333333333334,139525,73.89333333333333,139377
11,75.89333333333333,142696,76.74666666666667,144806,75.94666666666666,142698,75.09333333333333,140772
12,75.09333333333333,142571,77.84,146647,74.02666666666666,141069,73.25333333333333,139036
13,73.83999999999999,139024,78.10666666666667,146417,76.05333333333333,143678,75.09333333333333,142443
14,74.96000000000001,139783,77.2,144545,76.98666666666666,145699,73.68,140941
15,75.70666666666666,140922,77.17333333333333,145384,76.98666666666666,146312,73.70666666666666,140433
16,76.13333333333333,143798,76.24,146280,74.8,141221,74.4,139446
17,76.37333333333333,144175,76.32,143279,74.32,139989,72.61333333333333,137103
18,77.94666666666666,146987,77.84,148522,74.4,140960,74.8,142807
19,74.64,141548,75.76,140692,72.72,137826,75.17333333333333,141267
20,77.36,146192,77.06666666666668,143197,75.62666666666667,143768,76.66666666666667,145361
21,76.61333333333333,144417,79.70666666666666,148447,74.32,139412,73.78666666666666,139378
22,75.89333333333333,144263,75.94666666666666,142950,74.13333333333333,139926,72.8,137276
23,74.10666666666667,140276,76.26666666666667,146962,76.18666666666667,143350,74.88,142973
24,75.17333333333333,141665,75.38666666666667,143136,74.66666666666667,141808,76.18666666666667,142513
25,76.88000000000001,145611,77.22666666666666,146486,73.41333333333333,139649,76.26666666666667,143923
26,77.46666666666667,145337,76.61333333333333,144211,74.45333333333333,138295,75.86666666666667,143354
27,74.64,139006,74.32,139691,74.96000000000001,140414,72.48,139692
28,74.82666666666667,141617,76.53333333333333,142818,74.56,139958,75.97333333333334,143359
29,76.82666666666667,146123,77.68,146656,75.38666666666667,143069,75.97333333333334,144699
30,77.09333333333333,145984,78.64,150098,76.74666666666667,142870,73.76,140685
31,75.09333333333333,142441,77.36,145668,75.62666666666667,140972,74.66666666666667,141562
32,77.52,145465,76.98666666666666,145352,77.52,147898,73.54666666666667,139256
33,75.22666666666666,142325,78.77333333333333,148901,76.10666666666667,144604,76.21333333333334,144101
34,77.57333333333334,146660,75.2,141679,74.45333333333333,144009,72.24000000000001,137497
35,75.6,143893,76.34666666666666,143591,76.29333333333334,143818,75.54666666666667,142805
36,75.2,140840,74.88,140263,76.34666666666666,145040,75.17333333333333,142272
37,76.85333333333332,144900,78.26666666666667,147503,74.45333333333333,141024,74.50666666666666,140987
38,74.77333333333334,143167,75.84,142523,74.72,140985,75.28,142910
39,73.73333333333333,140780,76.88000000000001,143695,75.2,142125,74.45333333333333,140701
40,73.33333333333333,139499,78.08,146572,74.72,140811,73.36,138697
41,75.33333333333333,142767,75.73333333333333,144064,76.88000000000001,145433,74.34666666666668,139944
42,76.21333333333334,142252,76.45333333333333,144933,75.78666666666666,143261,74.45333333333333,139266
43,76.61333333333333,144239,76.64,144699,76.96,143846,75.12,143061
44,75.94666666666666,142345,76.02666666666667,143419,75.09333333333333,142780,74.53333333333333,139545
45,76.37333333333333,145047,76.58666666666667,146257,74.93333333333332,142447,74.37333333333333,139907
46,76.90666666666667,146784,78.21333333333334,149352,74.26666666666667,139016,76.45333333333333,143787
47,74.66666666666667,140012,76.26666666666667,143435,74.90666666666667,142919,73.6,139326
48,76.55999999999999,145363,76.61333333333333,142703,74.82666666666667,140689,74.96000000000001,141662
49,75.57333333333334,142604,76.74666666666667,144609,73.92,139673,75.06666666666668,139983
50,76.69333333333334,145446,77.70666666666666,145919,77.65333333333334,146402,74.26666666666667,139844
51,74.74666666666666,141874,75.92,142997,76.72,146010,74.34666666666668,138853
52,74.29333333333334,140356,76.0,144923,75.46666666666667,142840,75.12,140307
53,76.08,144694,75.92,144186,76.0,142840,76.45333333333333,142804
54,76.34666666666666,143370,75.86666666666667,143293,77.06666666666668,147273,73.38666666666667,138565
55,75.30666666666667,141266,77.38666666666667,146767,75.78666666666666,143678,74.48,140588
56,77.30666666666667,145907,77.30666666666667,146137,73.73333333333333,141147,74.37333333333333,140825
57,74.69333333333333,140767,77.17333333333333,146507,75.62666666666667,142380,73.68,138408
58,75.70666666666666,143882,72.98666666666666,137706,75.38666666666667,141189,73.54666666666667,139209
59,75.22666666666666,141184,76.90666666666667,146166,76.05333333333333,144457,73.6,140055
60,76.0,142700,79.49333333333334,149755,75.73333333333333,143421,72.82666666666667,137024
61,77.62666666666667,145987,76.32,142920,74.05333333333334,139604,74.24,140731
62,73.57333333333334,137602,73.92,138599,74.85333333333334,140376,73.52,138555
63,76.66666666666667,144513,77.54666666666667,146202,76.55999999999999,144769,73.78666666666666,141066
64,76.85333333333332,144870,75.68,142593,74.24,142045,73.76,137970
65,75.73333333333333,143094,77.03999999999999,146187,77.41333333333333,146685,74.48,140088
66,76.37333333333333,144531,76.64,143639,75.89333333333333,143284,73.78666666666666,141043
67,76.4,144062,76.64,142646,74.77333333333334,142026,74.66666666666667,141370
68,75.06666666666668,143255,79.38666666666667,149510,75.14666666666666,143557,75.22666666666666,140809
69,74.45333333333333,140468,77.75999999999999,146746,75.94666666666666,143043,74.53333333333333,140857
70,76.02666666666667,144324,76.74666666666667,144246,76.16000000000001,144141,71.49333333333333,134692
71,76.08,144082,75.06666666666668,141415,75.52,141149,73.49333333333334,139585
72,76.37333333333333,144400,76.66666666666667,144533,75.73333333333333,143540,75.52,144289
73,76.98666666666666,145577,78.48,149532,74.69333333333333,140968,73.44000000000001,140105
74,74.82666666666667,142727,77.22666666666666,146067,76.42666666666666,144423,74.05333333333334,139090
75,76.29333333333334,143326,74.74666666666666,139728,74.96000000000001,142928,75.33333333333333,141937
76,76.16000000000001,144211,76.88000000000001,144526,74.34666666666668,140494,73.68,138709
77,76.88000000000001,146684,75.09333333333333,142652,75.44,144333,74.16,140474
78,75.97333333333334,143036,77.2,144952,74.48,141030,73.25333333333333,136536
79,76.90666666666667,143607,76.77333333333334,145610,73.65333333333334,140456,74.16,139167
80,76.18666666666667,142912,76.29333333333334,143429,75.33333333333333,141877,74.34666666666668,139665
81,76.37333333333333,144542,75.76,143350,75.33333333333333,142588,74.16,141275
82,75.78666666666666,144434,75.65333333333332,143425,76.55999999999999,145341,74.32,140042
83,73.54666666666667,138259,76.37333333333333,144176,75.57333333333334,143604,73.70666666666666,139750
84,76.82666666666667,145828,76.69333333333334,144486,74.82666666666667,140450,73.33333333333333,137441
85,76.13333333333333,145363,76.82666666666667,143895,77.52,145130,73.46666666666667,138550
86,75.03999999999999,142838,75.33333333333333,142029,74.18666666666667,140204,75.41333333333333,141103
87,77.06666666666668,147222,77.52,144125,74.08,139095,73.49333333333334,137731
88,74.85333333333334,140546,76.48,144768,73.92,137517,71.30666666666666,132882
89,77.68,147036,76.98666666666666,145992,76.26666666666667,144932,74.93333333333332,140864
90,75.97333333333334,145350,76.45333333333333,143402,77.44,146430,73.68,139311
91,75.76,143065,74.74666666666666,140419,74.56,140593,73.6,141134
92,74.16,138942,77.73333333333333,146012,75.33333333333333,141605,72.26666666666667,137645
93,75.57333333333334,141682,73.30666666666666,139404,73.78666666666666,140691,71.92,134808
94,76.72,143832,74.96000000000001,142462,74.18666666666667,141940,72.74666666666667,138102
95,76.64,143808,77.36,146726,76.0,145264,74.50666666666666,141288
96,75.94666666666666,143526,77.36,146862,74.85333333333334,142274,74.58666666666667,141985
97,75.84,143847,79.36,149472,78.24,149020,74.72,140871
98,73.97333333333333,140589,76.53333333333333,145849,74.53333333333333,140011,73.44000000000001,139248
99,75.52,143907,76.64,144138,75.57333333333334,141502,74.74666666666666,141654
100,76.72,145142,75.09333333333333,141565,74.8,141860,75.06666666666668,141621
